Date,Product,Category,Quantity Sold,Unit Price,Revenue,Prescription Required
2023-01-01,Paracetamol 500mg,Analgesic,12,0.27,3.24,No
2023-01-01,Ibuprofen 200mg,Analgesic,33,0.34,11.22,No
2023-01-01,Cetirizine 10mg,Antihistamine,25,0.32,8.0,No
2023-01-01,Amoxicillin 500mg,Antibiotic,35,0.81,28.35,Yes
2023-01-01,Azithromycin 250mg,Antibiotic,26,1.15,29.9,Yes
2023-01-01,Metformin 500mg,Antidiabetic,24,0.61,14.64,Yes
2023-01-01,Amlodipine 5mg,Cardiac,24,0.67,16.08,Yes
2023-01-01,Omeprazole 20mg,Gastro,20,0.57,11.4,No
2023-01-01,Salbutamol Inhaler,Respiratory,15,3.83,57.45,Yes
2023-01-01,Vitamin C 1000mg,Supplement,29,0.43,12.47,No
2023-01-02,Paracetamol 500mg,Analgesic,37,0.24,8.88,No
2023-01-02,Ibuprofen 200mg,Analgesic,22,0.37,8.14,No
2023-01-02,Cetirizine 10mg,Antihistamine,40,0.3,12.0,No
2023-01-02,Amoxicillin 500mg,Antibiotic,33,0.82,27.06,Yes
2023-01-02,Azithromycin 250mg,Antibiotic,37,1.12,41.44,Yes
2023-01-02,Metformin 500mg,Antidiabetic,18,0.63,11.34,Yes
2023-01-02,Amlodipine 5mg,Cardiac,43,0.75,32.25,Yes
2023-01-02,Omeprazole 20mg,Gastro,28,0.55,15.4,No
2023-01-02,Salbutamol Inhaler,Respiratory,43,3.4,146.2,Yes
2023-01-02,Vitamin C 1000mg,Supplement,26,0.38,9.88,No
2023-01-03,Paracetamol 500mg,Analgesic,39,0.26,10.14,No
2023-01-03,Ibuprofen 200mg,Analgesic,36,0.36,12.96,No
2023-01-03,Cetirizine 10mg,Antihistamine,29,0.29,8.41,No
2023-01-03,Amoxicillin 500mg,Antibiotic,29,0.82,23.78,Yes
2023-01-03,Azithromycin 250mg,Antibiotic,38,1.15,43.7,Yes
2023-01-03,Metformin 500mg,Antidiabetic,33,0.62,20.46,Yes
2023-01-03,Amlodipine 5mg,Cardiac,36,0.71,25.56,Yes
2023-01-03,Omeprazole 20mg,Gastro,26,0.56,14.56,No
2023-01-03,Salbutamol Inhaler,Respiratory,39,3.36,131.04,Yes
2023-01-03,Vitamin C 1000mg,Supplement,41,0.4,16.4,No
2023-01-04,Paracetamol 500mg,Analgesic,26,0.27,7.02,No
